Country,Year,ANTIGEN,COVERAGE_CATEGORY,COVERAGE_CATEGORY_DESCRIPTION,COVERAGE
Azerbaijan,2009,DTPCV3,WUENIC,WHO/UNICEF Estimates of National Immunization Coverage,81
Bahamas,2009,DTPCV3,WUENIC,WHO/UNICEF Estimates of National Immunization Coverage,96
Bahrain,2009,DTPCV3,WUENIC,WHO/UNICEF Estimates of National Immunization Coverage,98
Bangladesh,2009,DTPCV3,WUENIC,WHO/UNICEF Estimates of National Immunization Coverage,97
Barbados,2009,DTPCV3,WUENIC,WHO/UNICEF Estimates of National Immunization Coverage,93
Belarus,2009,DTPCV3,WUENIC,WHO/UNICEF Estimates of National Immunization Coverage,96
Belgium,2009,DTPCV3,WUENIC,WHO/UNICEF Estimates of National Immunization Coverage,98
Belize,2009,DTPCV3,WUENIC,WHO/UNICEF Estimates of National Immunization Coverage,97
Benin,2009,DTPCV3,WUENIC,WHO/UNICEF Estimates of National Immunization Coverage,79
Bhutan,2009,DTPCV3,WUENIC,WHO/UNICEF Estimates of National Immunization Coverage,93
Bolivia (Plurinational State of),2009,DTPCV3,WUENIC,WHO/UNICEF Estimates of National Immunization Coverage,93
Bosnia and Herzegovina,2009,DTPCV3,WUENIC,WHO/UNICEF Estimates of National Immunization Coverage,90
Botswana,2009,DTPCV3,WUENIC,WHO/UNICEF Estimates of National Immunization Coverage,96
Brazil,2009,DTPCV3,WUENIC,WHO/UNICEF Estimates of National Immunization Coverage,99
Brunei Darussalam,2009,DTPCV3,WUENIC,WHO/UNICEF Estimates of National Immunization Coverage,99
Bulgaria,2009,DTPCV3,WUENIC,WHO/UNICEF Estimates of National Immunization Coverage,94
Burkina Faso,2009,DTPCV3,WUENIC,WHO/UNICEF Estimates of National Immunization Coverage,92
Burundi,2009,DTPCV3,WUENIC,WHO/UNICEF Estimates of National Immunization Coverage,94
Cabo Verde,2009,DTPCV3,WUENIC,WHO/UNICEF Estimates of National Immunization Coverage,99
Cambodia,2009,DTPCV3,WUENIC,WHO/UNICEF Estimates of National Immunization Coverage,94
Cameroon,2009,DTPCV3,WUENIC,WHO/UNICEF Estimates of National Immunization Coverage,80
Canada,2009,DTPCV3,WUENIC,WHO/UNICEF Estimates of National Immunization Coverage,91
Central African Republic,2009,DTPCV3,WUENIC,WHO/UNICEF Estimates of National Immunization Coverage,42
Chad,2009,DTPCV3,WUENIC,WHO/UNICEF Estimates of National Immunization Coverage,25
Chile,2009,DTPCV3,WUENIC,WHO/UNICEF Estimates of National Immunization Coverage,94
China,2009,DTPCV3,WUENIC,WHO/UNICEF Estimates of National Immunization Coverage,99
Colombia,2009,DTPCV3,WUENIC,WHO/UNICEF Estimates of National Immunization Coverage,92
Comoros,2009,DTPCV3,WUENIC,WHO/UNICEF Estimates of National Immunization Coverage,83
Congo,2009,DTPCV3,WUENIC,WHO/UNICEF Estimates of National Immunization Coverage,78
Cook Islands,2009,DTPCV3,WUENIC,WHO/UNICEF Estimates of National Immunization Coverage,82
Costa Rica,2009,DTPCV3,WUENIC,WHO/UNICEF Estimates of National Immunization Coverage,86
Côte d'Ivoire,2009,DTPCV3,WUENIC,WHO/UNICEF Estimates of National Immunization Coverage,81
Croatia,2009,DTPCV3,WUENIC,WHO/UNICEF Estimates of National Immunization Coverage,96
Cuba,2009,DTPCV3,WUENIC,WHO/UNICEF Estimates of National Immunization Coverage,96
Cyprus,2009,DTPCV3,WUENIC,WHO/UNICEF Estimates of National Immunization Coverage,99
Czechia,2009,DTPCV3,WUENIC,WHO/UNICEF Estimates of National Immunization Coverage,99
Democratic People's Republic of Korea,2009,DTPCV3,WUENIC,WHO/UNICEF Estimates of National Immunization Coverage,93
Democratic Republic of the Congo,2009,DTPCV3,WUENIC,WHO/UNICEF Estimates of National Immunization Coverage,71
Denmark,2009,DTPCV3,WUENIC,WHO/UNICEF Estimates of National Immunization Coverage,89
Djibouti,2009,DTPCV3,WUENIC,WHO/UNICEF Estimates of National Immunization Coverage,89
Dominica,2009,DTPCV3,WUENIC,WHO/UNICEF Estimates of National Immunization Coverage,99
Dominican Republic,2009,DTPCV3,WUENIC,WHO/UNICEF Estimates of National Immunization Coverage,82
Ecuador,2009,DTPCV3,WUENIC,WHO/UNICEF Estimates of National Immunization Coverage,94
Egypt,2009,DTPCV3,WUENIC,WHO/UNICEF Estimates of National Immunization Coverage,97
El Salvador,2009,DTPCV3,WUENIC,WHO/UNICEF Estimates of National Immunization Coverage,91
Equatorial Guinea,2009,DTPCV3,WUENIC,WHO/UNICEF Estimates of National Immunization Coverage,52
Eritrea,2009,DTPCV3,WUENIC,WHO/UNICEF Estimates of National Immunization Coverage,95
Estonia,2009,DTPCV3,WUENIC,WHO/UNICEF Estimates of National Immunization Coverage,95
Eswatini,2009,DTPCV3,WUENIC,WHO/UNICEF Estimates of National Immunization Coverage,88
Ethiopia,2009,DTPCV3,WUENIC,WHO/UNICEF Estimates of National Immunization Coverage,58
Fiji,2009,DTPCV3,WUENIC,WHO/UNICEF Estimates of National Immunization Coverage,99
Finland,2009,DTPCV3,WUENIC,WHO/UNICEF Estimates of National Immunization Coverage,99
France,2009,DTPCV3,WUENIC,WHO/UNICEF Estimates of National Immunization Coverage,98
Gabon,2009,DTPCV3,WUENIC,WHO/UNICEF Estimates of National Immunization Coverage,76
Gambia,2009,DTPCV3,WUENIC,WHO/UNICEF Estimates of National Immunization Coverage,98
Georgia,2009,DTPCV3,WUENIC,WHO/UNICEF Estimates of National Immunization Coverage,88
Germany,2009,DTPCV3,WUENIC,WHO/UNICEF Estimates of National Immunization Coverage,96
Ghana,2009,DTPCV3,WUENIC,WHO/UNICEF Estimates of National Immunization Coverage,94
Greece,2009,DTPCV3,WUENIC,WHO/UNICEF Estimates of National Immunization Coverage,99
Grenada,2009,DTPCV3,WUENIC,WHO/UNICEF Estimates of National Immunization Coverage,99
Guatemala,2009,DTPCV3,WUENIC,WHO/UNICEF Estimates of National Immunization Coverage,92
Guinea,2009,DTPCV3,WUENIC,WHO/UNICEF Estimates of National Immunization Coverage,57
Guinea-Bissau,2009,DTPCV3,WUENIC,WHO/UNICEF Estimates of National Immunization Coverage,80
Guyana,2009,DTPCV3,WUENIC,WHO/UNICEF Estimates of National Immunization Coverage,98
Haiti,2009,DTPCV3,WUENIC,WHO/UNICEF Estimates of National Immunization Coverage,65
Honduras,2009,DTPCV3,WUENIC,WHO/UNICEF Estimates of National Immunization Coverage,97
Hungary,2009,DTPCV3,WUENIC,WHO/UNICEF Estimates of National Immunization Coverage,99
Iceland,2009,DTPCV3,WUENIC,WHO/UNICEF Estimates of National Immunization Coverage,96
India,2009,DTPCV3,WUENIC,WHO/UNICEF Estimates of National Immunization Coverage,74
Indonesia,2009,DTPCV3,WUENIC,WHO/UNICEF Estimates of National Immunization Coverage,78
Iran (Islamic Republic of),2009,DTPCV3,WUENIC,WHO/UNICEF Estimates of National Immunization Coverage,99
Iraq,2009,DTPCV3,WUENIC,WHO/UNICEF Estimates of National Immunization Coverage,78
Ireland,2009,DTPCV3,WUENIC,WHO/UNICEF Estimates of National Immunization Coverage,94
Israel,2009,DTPCV3,WUENIC,WHO/UNICEF Estimates of National Immunization Coverage,96
Italy,2009,DTPCV3,WUENIC,WHO/UNICEF Estimates of National Immunization Coverage,96
Jamaica,2009,DTPCV3,WUENIC,WHO/UNICEF Estimates of National Immunization Coverage,90
Japan,2009,DTPCV3,WUENIC,WHO/UNICEF Estimates of National Immunization Coverage,97
Jordan,2009,DTPCV3,WUENIC,WHO/UNICEF Estimates of National Immunization Coverage,98
Kazakhstan,2009,DTPCV3,WUENIC,WHO/UNICEF Estimates of National Immunization Coverage,98
Kenya,2009,DTPCV3,WUENIC,WHO/UNICEF Estimates of National Immunization Coverage,88
Kiribati,2009,DTPCV3,WUENIC,WHO/UNICEF Estimates of National Immunization Coverage,86
Kuwait,2009,DTPCV3,WUENIC,WHO/UNICEF Estimates of National Immunization Coverage,99
Kyrgyzstan,2009,DTPCV3,WUENIC,WHO/UNICEF Estimates of National Immunization Coverage,95
Lao People's Democratic Republic,2009,DTPCV3,WUENIC,WHO/UNICEF Estimates of National Immunization Coverage,67
Latvia,2009,DTPCV3,WUENIC,WHO/UNICEF Estimates of National Immunization Coverage,94
Lebanon,2009,DTPCV3,WUENIC,WHO/UNICEF Estimates of National Immunization Coverage,85
Lesotho,2009,DTPCV3,WUENIC,WHO/UNICEF Estimates of National Immunization Coverage,91
Liberia,2009,DTPCV3,WUENIC,WHO/UNICEF Estimates of National Immunization Coverage,81
Libya,2009,DTPCV3,WUENIC,WHO/UNICEF Estimates of National Immunization Coverage,98
Lithuania,2009,DTPCV3,WUENIC,WHO/UNICEF Estimates of National Immunization Coverage,98
Luxembourg,2009,DTPCV3,WUENIC,WHO/UNICEF Estimates of National Immunization Coverage,99
Madagascar,2009,DTPCV3,WUENIC,WHO/UNICEF Estimates of National Immunization Coverage,77
Malawi,2009,DTPCV3,WUENIC,WHO/UNICEF Estimates of National Immunization Coverage,93
Malaysia,2009,DTPCV3,WUENIC,WHO/UNICEF Estimates of National Immunization Coverage,97
Maldives,2009,DTPCV3,WUENIC,WHO/UNICEF Estimates of National Immunization Coverage,98
Mali,2009,DTPCV3,WUENIC,WHO/UNICEF Estimates of National Immunization Coverage,73
Malta,2009,DTPCV3,WUENIC,WHO/UNICEF Estimates of National Immunization Coverage,73
Marshall Islands,2009,DTPCV3,WUENIC,WHO/UNICEF Estimates of National Immunization Coverage,96
Mauritania,2009,DTPCV3,WUENIC,WHO/UNICEF Estimates of National Immunization Coverage,64
Mauritius,2009,DTPCV3,WUENIC,WHO/UNICEF Estimates of National Immunization Coverage,99
Mexico,2009,DTPCV3,WUENIC,WHO/UNICEF Estimates of National Immunization Coverage,95
Micronesia (Federated States of),2009,DTPCV3,WUENIC,WHO/UNICEF Estimates of National Immunization Coverage,91
Monaco,2009,DTPCV3,WUENIC,WHO/UNICEF Estimates of National Immunization Coverage,99
Mongolia,2009,DTPCV3,WUENIC,WHO/UNICEF Estimates of National Immunization Coverage,95
Montenegro,2009,DTPCV3,WUENIC,WHO/UNICEF Estimates of National Immunization Coverage,92
Morocco,2009,DTPCV3,WUENIC,WHO/UNICEF Estimates of National Immunization Coverage,99
Mozambique,2009,DTPCV3,WUENIC,WHO/UNICEF Estimates of National Immunization Coverage,74
Myanmar,2009,DTPCV3,WUENIC,WHO/UNICEF Estimates of National Immunization Coverage,90
Namibia,2009,DTPCV3,WUENIC,WHO/UNICEF Estimates of National Immunization Coverage,83
Nauru,2009,DTPCV3,WUENIC,WHO/UNICEF Estimates of National Immunization Coverage,99
Nepal,2009,DTPCV3,WUENIC,WHO/UNICEF Estimates of National Immunization Coverage,89
Netherlands (Kingdom of the),2009,DTPCV3,WUENIC,WHO/UNICEF Estimates of National Immunization Coverage,97
New Zealand,2009,DTPCV3,WUENIC,WHO/UNICEF Estimates of National Immunization Coverage,92
Nicaragua,2009,DTPCV3,WUENIC,WHO/UNICEF Estimates of National Immunization Coverage,98
Niger,2009,DTPCV3,WUENIC,WHO/UNICEF Estimates of National Immunization Coverage,71
Nigeria,2009,DTPCV3,WUENIC,WHO/UNICEF Estimates of National Immunization Coverage,63
Niue,2009,DTPCV3,WUENIC,WHO/UNICEF Estimates of National Immunization Coverage,99
North Macedonia,2009,DTPCV3,WUENIC,WHO/UNICEF Estimates of National Immunization Coverage,96
Norway,2009,DTPCV3,WUENIC,WHO/UNICEF Estimates of National Immunization Coverage,94
"occupied Palestinian territory, including east Jerusalem",2009,DTPCV3,WUENIC,WHO/UNICEF Estimates of National Immunization Coverage,97
Oman,2009,DTPCV3,WUENIC,WHO/UNICEF Estimates of National Immunization Coverage,98
Pakistan,2009,DTPCV3,WUENIC,WHO/UNICEF Estimates of National Immunization Coverage,52
Palau,2009,DTPCV3,WUENIC,WHO/UNICEF Estimates of National Immunization Coverage,49
Panama,2009,DTPCV3,WUENIC,WHO/UNICEF Estimates of National Immunization Coverage,85
Papua New Guinea,2009,DTPCV3,WUENIC,WHO/UNICEF Estimates of National Immunization Coverage,64
Paraguay,2009,DTPCV3,WUENIC,WHO/UNICEF Estimates of National Immunization Coverage,86
Peru,2009,DTPCV3,WUENIC,WHO/UNICEF Estimates of National Immunization Coverage,93
Philippines,2009,DTPCV3,WUENIC,WHO/UNICEF Estimates of National Immunization Coverage,88
Poland,2009,DTPCV3,WUENIC,WHO/UNICEF Estimates of National Immunization Coverage,99
Portugal,2009,DTPCV3,WUENIC,WHO/UNICEF Estimates of National Immunization Coverage,96
Qatar,2009,DTPCV3,WUENIC,WHO/UNICEF Estimates of National Immunization Coverage,99
Republic of Korea,2009,DTPCV3,WUENIC,WHO/UNICEF Estimates of National Immunization Coverage,94
Republic of Moldova,2009,DTPCV3,WUENIC,WHO/UNICEF Estimates of National Immunization Coverage,85
Romania,2009,DTPCV3,WUENIC,WHO/UNICEF Estimates of National Immunization Coverage,95
Russian Federation,2009,DTPCV3,WUENIC,WHO/UNICEF Estimates of National Immunization Coverage,98
Rwanda,2009,DTPCV3,WUENIC,WHO/UNICEF Estimates of National Immunization Coverage,97
Saint Kitts and Nevis,2009,DTPCV3,WUENIC,WHO/UNICEF Estimates of National Immunization Coverage,98
Saint Lucia,2009,DTPCV3,WUENIC,WHO/UNICEF Estimates of National Immunization Coverage,95
Saint Vincent and the Grenadines,2009,DTPCV3,WUENIC,WHO/UNICEF Estimates of National Immunization Coverage,99
Samoa,2009,DTPCV3,WUENIC,WHO/UNICEF Estimates of National Immunization Coverage,64
San Marino,2009,DTPCV3,WUENIC,WHO/UNICEF Estimates of National Immunization Coverage,90
Sao Tome and Principe,2009,DTPCV3,WUENIC,WHO/UNICEF Estimates of National Immunization Coverage,98
Saudi Arabia,2009,DTPCV3,WUENIC,WHO/UNICEF Estimates of National Immunization Coverage,98
Senegal,2009,DTPCV3,WUENIC,WHO/UNICEF Estimates of National Immunization Coverage,86
Serbia,2009,DTPCV3,WUENIC,WHO/UNICEF Estimates of National Immunization Coverage,95
Seychelles,2009,DTPCV3,WUENIC,WHO/UNICEF Estimates of National Immunization Coverage,99
Sierra Leone,2009,DTPCV3,WUENIC,WHO/UNICEF Estimates of National Immunization Coverage,84
Singapore,2009,DTPCV3,WUENIC,WHO/UNICEF Estimates of National Immunization Coverage,97
Slovakia,2009,DTPCV3,WUENIC,WHO/UNICEF Estimates of National Immunization Coverage,99
Slovenia,2009,DTPCV3,WUENIC,WHO/UNICEF Estimates of National Immunization Coverage,96
Solomon Islands,2009,DTPCV3,WUENIC,WHO/UNICEF Estimates of National Immunization Coverage,86
Somalia,2009,DTPCV3,WUENIC,WHO/UNICEF Estimates of National Immunization Coverage,42
South Africa,2009,DTPCV3,WUENIC,WHO/UNICEF Estimates of National Immunization Coverage,81
Spain,2009,DTPCV3,WUENIC,WHO/UNICEF Estimates of National Immunization Coverage,96
Sri Lanka,2009,DTPCV3,WUENIC,WHO/UNICEF Estimates of National Immunization Coverage,97
Sudan,2009,DTPCV3,WUENIC,WHO/UNICEF Estimates of National Immunization Coverage,81
Suriname,2009,DTPCV3,WUENIC,WHO/UNICEF Estimates of National Immunization Coverage,87
Sweden,2009,DTPCV3,WUENIC,WHO/UNICEF Estimates of National Immunization Coverage,98
Switzerland,2009,DTPCV3,WUENIC,WHO/UNICEF Estimates of National Immunization Coverage,95
Syrian Arab Republic,2009,DTPCV3,WUENIC,WHO/UNICEF Estimates of National Immunization Coverage,80
Tajikistan,2009,DTPCV3,WUENIC,WHO/UNICEF Estimates of National Immunization Coverage,93
Thailand,2009,DTPCV3,WUENIC,WHO/UNICEF Estimates of National Immunization Coverage,99
Timor-Leste,2009,DTPCV3,WUENIC,WHO/UNICEF Estimates of National Immunization Coverage,72
Togo,2009,DTPCV3,WUENIC,WHO/UNICEF Estimates of National Immunization Coverage,78
Tonga,2009,DTPCV3,WUENIC,WHO/UNICEF Estimates of National Immunization Coverage,99
Trinidad and Tobago,2009,DTPCV3,WUENIC,WHO/UNICEF Estimates of National Immunization Coverage,90
Tunisia,2009,DTPCV3,WUENIC,WHO/UNICEF Estimates of National Immunization Coverage,99
Türkiye,2009,DTPCV3,WUENIC,WHO/UNICEF Estimates of National Immunization Coverage,96
Turkmenistan,2009,DTPCV3,WUENIC,WHO/UNICEF Estimates of National Immunization Coverage,96
Tuvalu,2009,DTPCV3,WUENIC,WHO/UNICEF Estimates of National Immunization Coverage,88
Uganda,2009,DTPCV3,WUENIC,WHO/UNICEF Estimates of National Immunization Coverage,79
Ukraine,2009,DTPCV3,WUENIC,WHO/UNICEF Estimates of National Immunization Coverage,71
United Arab Emirates,2009,DTPCV3,WUENIC,WHO/UNICEF Estimates of National Immunization Coverage,93
United Kingdom of Great Britain and Northern Ireland,2009,DTPCV3,WUENIC,WHO/UNICEF Estimates of National Immunization Coverage,93
United Republic of Tanzania,2009,DTPCV3,WUENIC,WHO/UNICEF Estimates of National Immunization Coverage,85
United States of America,2009,DTPCV3,WUENIC,WHO/UNICEF Estimates of National Immunization Coverage,95
Uruguay,2009,DTPCV3,WUENIC,WHO/UNICEF Estimates of National Immunization Coverage,95
Uzbekistan,2009,DTPCV3,WUENIC,WHO/UNICEF Estimates of National Immunization Coverage,98
Vanuatu,2009,DTPCV3,WUENIC,WHO/UNICEF Estimates of National Immunization Coverage,75
Venezuela (Bolivarian Republic of),2009,DTPCV3,WUENIC,WHO/UNICEF Estimates of National Immunization Coverage,84
Viet Nam,2009,DTPCV3,WUENIC,WHO/UNICEF Estimates of National Immunization Coverage,96
Yemen,2009,DTPCV3,WUENIC,WHO/UNICEF Estimates of National Immunization Coverage,76
Zambia,2009,DTPCV3,WUENIC,WHO/UNICEF Estimates of National Immunization Coverage,94
Zimbabwe,2009,DTPCV3,WUENIC,WHO/UNICEF Estimates of National Immunization Coverage,73
Afghanistan,2008,DTPCV3,WUENIC,WHO/UNICEF Estimates of National Immunization Coverage,64
Albania,2008,DTPCV3,WUENIC,WHO/UNICEF Estimates of National Immunization Coverage,99
Algeria,2008,DTPCV3,WUENIC,WHO/UNICEF Estimates of National Immunization Coverage,93
Andorra,2008,DTPCV3,WUENIC,WHO/UNICEF Estimates of National Immunization Coverage,99
Angola,2008,DTPCV3,WUENIC,WHO/UNICEF Estimates of National Immunization Coverage,49
Antigua and Barbuda,2008,DTPCV3,WUENIC,WHO/UNICEF Estimates of National Immunization Coverage,99
Argentina,2008,DTPCV3,WUENIC,WHO/UNICEF Estimates of National Immunization Coverage,93
Armenia,2008,DTPCV3,WUENIC,WHO/UNICEF Estimates of National Immunization Coverage,89
Australia,2008,DTPCV3,WUENIC,WHO/UNICEF Estimates of National Immunization Coverage,92
Austria,2008,DTPCV3,WUENIC,WHO/UNICEF Estimates of National Immunization Coverage,83
Azerbaijan,2008,DTPCV3,WUENIC,WHO/UNICEF Estimates of National Immunization Coverage,81
Bahamas,2008,DTPCV3,WUENIC,WHO/UNICEF Estimates of National Immunization Coverage,93
Bahrain,2008,DTPCV3,WUENIC,WHO/UNICEF Estimates of National Immunization Coverage,97
Bangladesh,2008,DTPCV3,WUENIC,WHO/UNICEF Estimates of National Immunization Coverage,96
Barbados,2008,DTPCV3,WUENIC,WHO/UNICEF Estimates of National Immunization Coverage,85
Belarus,2008,DTPCV3,WUENIC,WHO/UNICEF Estimates of National Immunization Coverage,97
Belgium,2008,DTPCV3,WUENIC,WHO/UNICEF Estimates of National Immunization Coverage,99
Belize,2008,DTPCV3,WUENIC,WHO/UNICEF Estimates of National Immunization Coverage,94
Benin,2008,DTPCV3,WUENIC,WHO/UNICEF Estimates of National Immunization Coverage,75
Bhutan,2008,DTPCV3,WUENIC,WHO/UNICEF Estimates of National Immunization Coverage,96
Bolivia (Plurinational State of),2008,DTPCV3,WUENIC,WHO/UNICEF Estimates of National Immunization Coverage,88
Bosnia and Herzegovina,2008,DTPCV3,WUENIC,WHO/UNICEF Estimates of National Immunization Coverage,91
Botswana,2008,DTPCV3,WUENIC,WHO/UNICEF Estimates of National Immunization Coverage,96
Brazil,2008,DTPCV3,WUENIC,WHO/UNICEF Estimates of National Immunization Coverage,99
Brunei Darussalam,2008,DTPCV3,WUENIC,WHO/UNICEF Estimates of National Immunization Coverage,98
Bulgaria,2008,DTPCV3,WUENIC,WHO/UNICEF Estimates of National Immunization Coverage,95
Burkina Faso,2008,DTPCV3,WUENIC,WHO/UNICEF Estimates of National Immunization Coverage,93
Burundi,2008,DTPCV3,WUENIC,WHO/UNICEF Estimates of National Immunization Coverage,92
Cabo Verde,2008,DTPCV3,WUENIC,WHO/UNICEF Estimates of National Immunization Coverage,99
Cambodia,2008,DTPCV3,WUENIC,WHO/UNICEF Estimates of National Immunization Coverage,91
Cameroon,2008,DTPCV3,WUENIC,WHO/UNICEF Estimates of National Immunization Coverage,84
Canada,2008,DTPCV3,WUENIC,WHO/UNICEF Estimates of National Immunization Coverage,92
Central African Republic,2008,DTPCV3,WUENIC,WHO/UNICEF Estimates of National Immunization Coverage,45
Chad,2008,DTPCV3,WUENIC,WHO/UNICEF Estimates of National Immunization Coverage,19
Chile,2008,DTPCV3,WUENIC,WHO/UNICEF Estimates of National Immunization Coverage,95
China,2008,DTPCV3,WUENIC,WHO/UNICEF Estimates of National Immunization Coverage,97
Colombia,2008,DTPCV3,WUENIC,WHO/UNICEF Estimates of National Immunization Coverage,92
Comoros,2008,DTPCV3,WUENIC,WHO/UNICEF Estimates of National Immunization Coverage,81
Congo,2008,DTPCV3,WUENIC,WHO/UNICEF Estimates of National Immunization Coverage,79
Cook Islands,2008,DTPCV3,WUENIC,WHO/UNICEF Estimates of National Immunization Coverage,99
Costa Rica,2008,DTPCV3,WUENIC,WHO/UNICEF Estimates of National Immunization Coverage,90
Côte d'Ivoire,2008,DTPCV3,WUENIC,WHO/UNICEF Estimates of National Immunization Coverage,74
Croatia,2008,DTPCV3,WUENIC,WHO/UNICEF Estimates of National Immunization Coverage,96
Cuba,2008,DTPCV3,WUENIC,WHO/UNICEF Estimates of National Immunization Coverage,95
Cyprus,2008,DTPCV3,WUENIC,WHO/UNICEF Estimates of National Immunization Coverage,97
Czechia,2008,DTPCV3,WUENIC,WHO/UNICEF Estimates of National Immunization Coverage,99
Democratic People's Republic of Korea,2008,DTPCV3,WUENIC,WHO/UNICEF Estimates of National Immunization Coverage,92
Democratic Republic of the Congo,2008,DTPCV3,WUENIC,WHO/UNICEF Estimates of National Immunization Coverage,68
Denmark,2008,DTPCV3,WUENIC,WHO/UNICEF Estimates of National Immunization Coverage,88
Djibouti,2008,DTPCV3,WUENIC,WHO/UNICEF Estimates of National Immunization Coverage,89
Dominica,2008,DTPCV3,WUENIC,WHO/UNICEF Estimates of National Immunization Coverage,96
Dominican Republic,2008,DTPCV3,WUENIC,WHO/UNICEF Estimates of National Immunization Coverage,82
Ecuador,2008,DTPCV3,WUENIC,WHO/UNICEF Estimates of National Immunization Coverage,96
Egypt,2008,DTPCV3,WUENIC,WHO/UNICEF Estimates of National Immunization Coverage,97
El Salvador,2008,DTPCV3,WUENIC,WHO/UNICEF Estimates of National Immunization Coverage,98
Equatorial Guinea,2008,DTPCV3,WUENIC,WHO/UNICEF Estimates of National Immunization Coverage,50
Eritrea,2008,DTPCV3,WUENIC,WHO/UNICEF Estimates of National Immunization Coverage,95
Estonia,2008,DTPCV3,WUENIC,WHO/UNICEF Estimates of National Immunization Coverage,95
Eswatini,2008,DTPCV3,WUENIC,WHO/UNICEF Estimates of National Immunization Coverage,88
Ethiopia,2008,DTPCV3,WUENIC,WHO/UNICEF Estimates of National Immunization Coverage,54
Fiji,2008,DTPCV3,WUENIC,WHO/UNICEF Estimates of National Immunization Coverage,99
Finland,2008,DTPCV3,WUENIC,WHO/UNICEF Estimates of National Immunization Coverage,99
France,2008,DTPCV3,WUENIC,WHO/UNICEF Estimates of National Immunization Coverage,99
Gabon,2008,DTPCV3,WUENIC,WHO/UNICEF Estimates of National Immunization Coverage,82
Gambia,2008,DTPCV3,WUENIC,WHO/UNICEF Estimates of National Immunization Coverage,96
Georgia,2008,DTPCV3,WUENIC,WHO/UNICEF Estimates of National Immunization Coverage,92
Germany,2008,DTPCV3,WUENIC,WHO/UNICEF Estimates of National Immunization Coverage,96
Ghana,2008,DTPCV3,WUENIC,WHO/UNICEF Estimates of National Immunization Coverage,93
Greece,2008,DTPCV3,WUENIC,WHO/UNICEF Estimates of National Immunization Coverage,99
Grenada,2008,DTPCV3,WUENIC,WHO/UNICEF Estimates of National Immunization Coverage,99
Guatemala,2008,DTPCV3,WUENIC,WHO/UNICEF Estimates of National Immunization Coverage,95
Guinea,2008,DTPCV3,WUENIC,WHO/UNICEF Estimates of National Immunization Coverage,60
Guinea-Bissau,2008,DTPCV3,WUENIC,WHO/UNICEF Estimates of National Immunization Coverage,77
Guyana,2008,DTPCV3,WUENIC,WHO/UNICEF Estimates of National Immunization Coverage,93
Haiti,2008,DTPCV3,WUENIC,WHO/UNICEF Estimates of National Immunization Coverage,64
Honduras,2008,DTPCV3,WUENIC,WHO/UNICEF Estimates of National Immunization Coverage,93
Hungary,2008,DTPCV3,WUENIC,WHO/UNICEF Estimates of National Immunization Coverage,99
Iceland,2008,DTPCV3,WUENIC,WHO/UNICEF Estimates of National Immunization Coverage,98
India,2008,DTPCV3,WUENIC,WHO/UNICEF Estimates of National Immunization Coverage,70
Indonesia,2008,DTPCV3,WUENIC,WHO/UNICEF Estimates of National Immunization Coverage,77
Iran (Islamic Republic of),2008,DTPCV3,WUENIC,WHO/UNICEF Estimates of National Immunization Coverage,99
Iraq,2008,DTPCV3,WUENIC,WHO/UNICEF Estimates of National Immunization Coverage,69
Ireland,2008,DTPCV3,WUENIC,WHO/UNICEF Estimates of National Immunization Coverage,93
Israel,2008,DTPCV3,WUENIC,WHO/UNICEF Estimates of National Immunization Coverage,94
Italy,2008,DTPCV3,WUENIC,WHO/UNICEF Estimates of National Immunization Coverage,96
Jamaica,2008,DTPCV3,WUENIC,WHO/UNICEF Estimates of National Immunization Coverage,91
Japan,2008,DTPCV3,WUENIC,WHO/UNICEF Estimates of National Immunization Coverage,98
Jordan,2008,DTPCV3,WUENIC,WHO/UNICEF Estimates of National Immunization Coverage,97
Kazakhstan,2008,DTPCV3,WUENIC,WHO/UNICEF Estimates of National Immunization Coverage,99
Kenya,2008,DTPCV3,WUENIC,WHO/UNICEF Estimates of National Immunization Coverage,88
Kiribati,2008,DTPCV3,WUENIC,WHO/UNICEF Estimates of National Immunization Coverage,82
Kuwait,2008,DTPCV3,WUENIC,WHO/UNICEF Estimates of National Immunization Coverage,99
Kyrgyzstan,2008,DTPCV3,WUENIC,WHO/UNICEF Estimates of National Immunization Coverage,95
Lao People's Democratic Republic,2008,DTPCV3,WUENIC,WHO/UNICEF Estimates of National Immunization Coverage,61
Latvia,2008,DTPCV3,WUENIC,WHO/UNICEF Estimates of National Immunization Coverage,94
Lebanon,2008,DTPCV3,WUENIC,WHO/UNICEF Estimates of National Immunization Coverage,85
Lesotho,2008,DTPCV3,WUENIC,WHO/UNICEF Estimates of National Immunization Coverage,88
Liberia,2008,DTPCV3,WUENIC,WHO/UNICEF Estimates of National Immunization Coverage,75
Libya,2008,DTPCV3,WUENIC,WHO/UNICEF Estimates of National Immunization Coverage,98
Lithuania,2008,DTPCV3,WUENIC,WHO/UNICEF Estimates of National Immunization Coverage,96
Luxembourg,2008,DTPCV3,WUENIC,WHO/UNICEF Estimates of National Immunization Coverage,99
Madagascar,2008,DTPCV3,WUENIC,WHO/UNICEF Estimates of National Immunization Coverage,77
Malawi,2008,DTPCV3,WUENIC,WHO/UNICEF Estimates of National Immunization Coverage,91
Malaysia,2008,DTPCV3,WUENIC,WHO/UNICEF Estimates of National Immunization Coverage,97
